[descriptive data]								
title	JP2017-227799 Example 1 (AF-S Nikkor 28mm f/1.4E ED)							
[constants]								
[variable distances]								
Focal Length	28.41	undefined						
Angle of View	75.42	undefined						
F-Number	1.45	undefined						
Image Height	43.2	43.2						
Total Length	144.38	undefined						
Magnification	0	-0.219						
d0	Infinity	105.61						
d12	7.7	1.42						
Bf	38.47	44.77						
Aperture Diameter	26.647	26.647						
[lens data]								
1	70.017	2.5	1.68893	56.12	31.2			
2	29.64	10.58		47.62				
3	94.105	2.4	1.713	45.32	53.9			
4	31.773	0.05	1.5138	43.72	53			
5	27.197	9.49		43.72				
6	164.736	4.94	1.84666	42.03	23.8			
7	-131.025	4.85		42.03				
8	-46.832	2.15	1.56883	41.19	56			
9	134.737	4.17	1.883	42.24	40.8			
10	-366.912	3.03		42.24				
11	70.316	7.09	1.7725	41.34	49.6			
12	-99.338	d12		41.34				
13	55.349	4.2	1.72916	38.06	54.7			
14	289.177	0.15		38.06				
15	111.31	4	1.6968	37.14	55.5			
16	-158.345	0.15		37.14				
17	322.096	5.79	1.59282	35.08	68.6			
18	-37.124	1.5	1.738	35.08	32.3			
19	37.221	5.6		28.94				
20	AS	5.78		26.647				
21	-24.127	1.3	1.8061	27.96	33.3			
22	47.257	5.35	1.8322	31.41	40.1			
23	-131.725	0.3		31.41				
24	64.397	8.98	1.59282	32.73	68.6			
25	-28.781	0.15		32.73				
26	-280.388	3.71	1.6935	32.67	53.2			
27	-55.502	Bf		32.67				
[aspherical data]								
5	27.197	-1.81201	5.07910E-06	-6.20262E-09	1.15776E-11	-2.04179E-14	1.90900E-17
23	-131.725	0	3.38686E-06	-1.03975E-09	5.14761E-11	1.18111E-14	-1.11410E-16
26	-280.388	0	-1.45264E-05	-2.74974E-08	4.08509E-11	-1.22050E-13	2.18038E-15	-3.26000E-18
27	-55.502	1.61294	-4.86948E-06	-2.36249E-08	7.19463E-11	-3.12054E-13	2.11838E-15	-2.42000E-18
[figure]								
source	Data/JP2017-227799_Figure01P.png							
originX	41							
originY	436.5							
ppmm	10.174							
[notes]								
