[descriptive data]						
title	JP 2020-177057 Example 1 (Nikon AF-S Nikkor 120-300mm f/2.8E FL ED SR VR)					
[constants]						
[variable distances]						
Focal Length	123.6	200	291			
Angle of View	19.57	12.08	8.29			
F-Number	2.91	2.91	2.91			
Image Height	43.26	43.26	43.26			
Total Length	341.224	341.224	341.223			
Magnification	0	0	0			
d0	Infinity	Infinity	Infinity			
d5	5.114	39.909	66.471			
d15	62.916	28.122	1.56			
d23	21.244	17.6	18.669			
d28	5.968	9.611	8.542			
Bf	54.819	54.819	54.819			
[lens data]						
1	321.6694	5.2	1.90265	101.62	35.77	J-LASFH9A
2	151.607	13.4	1.49782	99.22	82.57	J-FKH1
3	-748.4933	0.1		99.22		
4	135.4106	13.2	1.433843	98.42	95.27	CaF2
5	Infinity	d5		98.42		
6	124.3594	7.6	1.720467	70.94	34.71	N-KZFS8
7	1981.8668	12.972		70.94		
8	275.6157	4.7	1.71736	55.74	29.53	J-SF1
9	-275.46	2.85	1.6968	54.42	55.52	J-LAK14
10	109.0902	3.124		50.47		
11	-1986.3568	2.65	1.804	50.47	46.6	J_LASF015
12	57.14	3.7	1.75575	48.54	24.71	J_SFH5
13	86.0604	6.757		47.48		
14	-84.2865	2.5	1.870705	47.48	40.73	TAFD32
15	-651.8818	d15		48.54		
16	605.0183	4.7	1.755	50.36	52.34	J-LASKH2
17	-156.1367	0.1		50.36		
18	88.3742	6.8	1.433843	49.86	95.27	CaF2
19	-277.5645	1.626		49.86		
20	-115.6316	4.7	1.65413	49	39.72	N-KZFS5
21	88.6408	1.061		49		
22	123.7096	5.3	1.91082	49	35.25	TAFD35
23	-404.2232	d23		49		
24	Infinity	4	1.804	46.96	46.6	J_LASF015
25	-118.3357	0.1		46.96		
26	63.0226	6.8	1.59349	43.88	67	J-PSKH4
27	-199.138	1.8	1.84666	43.54	23.82	J-SF03
28	199.011	d28		43.54		
29	-145.6141	1.9	2.001	36.72	29.12	J-LASFH16
30	91.0903	5.002		36.72		
31	AS	8		34.295		
32	375.1468	5	1.72916	36.1	54.61	J-LAK18
33	-83.7956	3.919		36.1		
34	368.0922	2	1.870705	34.18	40.73	TAFD32
35	93.4714	2.746		34.18		
36	-148.9288	3.6	1.80518	33.96	25.41	J-SF6
37	-54.337	1.9	1.5168	33.96	64.14	J-BK7A
38	107.7701	5.617		33.96		
39	FS	8.829		34		
40	79.609	4.4	2.001	38.44	29.12	J-LASFH16
41	-1873.4336	0.782		38.44		
42	64.0354	3	1.804	38.66	46.6	J_LASF015
43	33.609	10	1.48749	36.74	70.31	J-FK5
44	-77.3539	6.728		36.74		
45	-70.8535	2	1.90043	34.6	37.38	TAFD37
46	224.495	Bf		34.6		
[figure]						
source	Data/JP2020-177057_Figure01WP.png					
originX	20.4					
originY	165.47					
ppmm	2.105					
[notes]						
