[descriptive data]								
title	Nikkor-Z-58mmf0.95-WO2019229849A1							
[variable distances]								
Focal Length	59.62							
Angle of View	39.96							
F-Number	0.98							
Image Height	43.4							
Total Length	160.74							
Distance	Infinity							
Magnification	0							
d0	Infinity							
Bf	17.1							
[lens data]								
1	108.488	7.65	1.90265	66.5	35.77			
2	-848.55	2.8	1.552981	65.3	55.07			
3	50.252	18.12		58.3				
4	-60.72	2.8	1.61266	58.5	44.46			
5	2497.5	9.15	1.59319	65.3	67.9			
6	-77.239	0.4		65.3				
7	113.763	10.95	1.8485	71.0	43.79			
8	-178.06	0.4		71.0				
9	70.659	9.74	1.59319	64.5	67.9			
10	-1968.5	0.2		64.5				
11	289.687	8.0	1.59319	60.5	67.9			
12	-97.087	2.8	1.738	59.2	32.33			
13	47.074	8.7		49.8				
14	AS	5.29		47.7				
15	-95.23	2.2	1.61266	50.0	44.46			
16	41.204	11.55	1.49782	50.0	82.57			
17	-273.092	0.2		48.1				
18	76.173	9.5	1.883	51.0	40.69			
19	-101.575	0.2		49.4				
20	176.128	7.45	1.95375	46.3	32.33			
21	-67.221	1.8	1.738	45.1	32.33			
22	55.51	2.68		39.1				
23	71.413	6.35	1.883	39.1	40.69			
24	-115.025	1.81	1.69895	39.1	30.13			
25	46.943	0.8		39.1				
26	55.281	9.11	1.883	38.5	40.69			
27	-144.041	3.0	1.765538	38.0	46.76			
28	52.858	14.5		38.0				
29	CG	1.6	1.5168	43.4	64.14			
30	CG	1		43.4				
[aspherical data]								
1	108.488	0.00E+00	-3.82177E-07	-6.06486E-11	-3.80172E-15	-1.32266E-18		
20	176.128	0.00E+00	-1.15028E-06	-4.51771E-10	2.72670E-13	-7.66812E-17		
28	52.858	0.00E+00	3.18645E-06	-1.14718E-08	7.74567E-11	-2.24225E-13	3.3479E-16	-1.70470E-19
[figure]								
source	Nikon/Noct/Noct-ex1.png							
ppmm	13.11							
originX	379							
originY	1018							
