[descriptive data]						
title	JP2020-012952 Example 1					
[constants]						
[variable distances]						
Focal Length	41.2	undefined				
Angle of View	55.87	undefined				
F-Number	1.45	undefined				
Image Height	43.26	43.26				
Total Length	171	171				
Magnification	0	-0.164				
S	Infinity	393				
d0	Infinity	222.499				
d14	8.7665	2.603				
d19	7.3907	6.3421				
Bf	39.0002	46.2123				
[lens data]						
1	111.7037	5.5478	1.7725	69.87	49.62	TAF1
2	514.0093	0.15		69.87		
3	191.8963	1.5	1.437	65.47	95.1	FCD100
4	30.2492	12.0599		49		
5	423.9805	1.5	1.437	51.84	95.1	FCD100
6	50.8216	13.2984		45.9		
7	-38.1791	1.5	1.64769	45.9	33.84	E-FD2
8	172.544	9.3857	1.83481	53.69	42.72	TAFD5F
9	-56.304	0.15		53.69		
10	-1641.6822	12.4672	1.55032	51.59	75.5	FCD705
11	-32.7021	1.5	1.60342	51.59	38.01	E-F5
12	246.8799	0.15		52.48		
13	83.2754	5.882	1.7725	51.07	49.62	TAF1
14	-377.0503	d14		51.07		
15	90.4416	5.3037	1.92286	51.07	20.88	E-FDS1
16	-527.4885	0.15		51.07		
17	55.6364	11.866	1.59282	46.89	68.63	FCD515
18	-44.6058	2.482	1.58144	46.89	40.89	E-FL5
19	39.3845	d19		36.5		
20	AS	1.5		33.213		
21	84.0231	6.8887	1.437	34.22	95.1	FCD100
22	-32.202	1.5	1.64769	34.22	33.84	E-FD2
23	66.2242	7.8613		29.25		
24	-26.9856	1.5	1.62588	29.25	35.74	E-F1
25	-121.029	0.15		32.74		
26	64.6922	6.7685	1.59282	34.35	68.63	FCD515
27	-40.8255	0.15		34.35		
28	-430.037	4.6315	1.85135	34.08	40.1	M-TAFD305
29	-54.9865	Bf		34.08		
[aspherical data]						
28	-430.037	0	-2.74E-06	3.08E-09	3.91E-11	-1.94E-14
29	-54.9865	0	3.27E-06	3.99E-09	3.58E-11	
[figure]						
source	Data/JP2020-012952_Figure01.png					
originX	72					
originY	391					
ppmm	6.033					
[notes]						
Bill: Related to Sigma 40mm Art						
